Company,Department,First Name,Last Name,Email,Position,Research Area,Capacity,Final/Taken
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,susan,rogers,susan.rogers@fhstp.ac.at,ProfessorIn,IMT,6,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,nancy,edwards,nancy.edwards@fhstp.ac.at,FH-DozentIn,HCI,6,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,jeremy,whitehead,jeremy.whitehead@fhstp.ac.at,Junior Researcher,SMC,2,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,jeremy,johnson,jeremy.johnson@fhstp.ac.at,Junior Researcher,DHC,2,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,robin,ellis,robin.ellis@fhstp.ac.at,StudiengangsleiterIn,SMA,6,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,cynthia,diaz,cynthia.diaz@fhstp.ac.at,LeiterIn Fakultät,SMA,0,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,kyle,brown,kyle.brown@fhstp.ac.at,Junior Researcher,SMA,2,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,maria,montgomery,maria.montgomery@fhstp.ac.at,Junior Researcher,VIS,2,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,thomas,pierce,thomas.pierce@fhstp.ac.at,AssistentIn Lehre u. Forschung,,0,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,debra,gardner,debra.gardner@fhstp.ac.at,Junior Researcher,JRZ,2,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,david,walker,david.walker@fhstp.ac.at,Junior akademische Fachkraft,SMC,2,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,nancy,baker,nancy.baker@fhstp.ac.at,AssistentIn Lehre u. Forschung,,0,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,jeffery,wagner,jeffery.wagner@fhstp.ac.at,FH-DozentIn,DHC,6,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,angela,cohen,angela.cohen@fhstp.ac.at,ProfessorIn,SMC,6,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,patricia,miller,patricia.miller@fhstp.ac.at,FH-DozentIn,IMT,6,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,frank,gray,frank.gray@fhstp.ac.at,FH-DozentIn,SMC,6,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,christopher,davis,christopher.davis@fhstp.ac.at,FH-DozentIn,DHC,6,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,aaron,nguyen,aaron.nguyen@fhstp.ac.at,ForschungsgruppenleiterIn,SMA,4,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,megan,parsons,megan.parsons@fhstp.ac.at,FH-DozentIn,HCI,5,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,deborah,lynch,deborah.lynch@fhstp.ac.at,Research Assistant,JRZ,0,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,matthew,chapman,matthew.chapman@fhstp.ac.at,Junior Researcher,IMT,2,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,brenda,hurst,brenda.hurst@fhstp.ac.at,Junior Researcher,VAI,1,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,michele,jones,michele.jones@fhstp.ac.at,Junior Researcher,SMA,2,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,janet,williams,janet.williams@fhstp.ac.at,Junior Researcher,VAI,2,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,chad,welch,chad.welch@fhstp.ac.at,Research Assistant,HCI,0,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,tasha,valencia,tasha.valencia@fhstp.ac.at,ProfessorIn,AIM,5,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,natalie,arroyo,natalie.arroyo@fhstp.ac.at,Senior Researcher,DHC,4,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,joseph,wright,joseph.wright@fhstp.ac.at,Junior ProfessorIn,SMA,6,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,james,collins,james.collins@fhstp.ac.at,InstitutsleiterIn,IMT,4,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,michelle,ray,michelle.ray@fhstp.ac.at,InstitutsleiterIn,DAC,4,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,mitchell,clark,mitchell.clark@fhstp.ac.at,Junior Researcher,DAC,2,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,john,caldwell,john.caldwell@fhstp.ac.at,Junior Researcher,AIM,2,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,melanie,munoz,melanie.munoz@fhstp.ac.at,Researcher,SMA,3,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,kimberly,moreno,kimberly.moreno@fhstp.ac.at,FH-DozentIn,MP,6,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,amber,blair,amber.blair@fhstp.ac.at,Researcher,AIM,2,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,joseph,brennan,joseph.brennan@fhstp.ac.at,Junior Researcher,VIS,2,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,wanda,santos,wanda.santos@fhstp.ac.at,Junior akademische Fachkraft,DAC,2,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,veronica,bowman,veronica.bowman@fhstp.ac.at,Senior Researcher,AIM,3,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,george,daniel,george.daniel@fhstp.ac.at,Research Assistant,HCI,0,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,jill,rhodes,jill.rhodes@fhstp.ac.at,Researcher,VIS,3,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,whitney,hicks,whitney.hicks@fhstp.ac.at,Researcher,HCI,3,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,anna,baker,anna.baker@fhstp.ac.at,Junior Researcher,VAI,2,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,rodney,lewis,rodney.lewis@fhstp.ac.at,Junior Researcher,AIM,1,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,joseph,zuniga,joseph.zuniga@fhstp.ac.at,FH-DozentIn Lehre & Praxis,MP,3,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,jeffrey,lawrence,jeffrey.lawrence@fhstp.ac.at,FH-DozentIn,WT,6,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,robert,johnson,robert.johnson@fhstp.ac.at,Junior Researcher,AIM,1,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,natasha,decker,natasha.decker@fhstp.ac.at,Junior Researcher,HCI,2,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,kenneth,fowler,kenneth.fowler@fhstp.ac.at,Junior akademische Fachkraft,DHC,2,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,christopher,hall,christopher.hall@fhstp.ac.at,StudiengangsleiterIn,VAI,6,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,lindsay,blair,lindsay.blair@fhstp.ac.at,Teaching  & Research Assistant,SMA,0,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,lisa,smith,lisa.smith@fhstp.ac.at,Researcher,VAI,3,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,laura,henderson,laura.henderson@fhstp.ac.at,Researcher,VIS,3,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,jeremy,roberts,jeremy.roberts@fhstp.ac.at,Junior Researcher,VAI,1,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,chelsea,hernandez,chelsea.hernandez@fhstp.ac.at,Junior Researcher,VAI,2,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,leslie,adams,leslie.adams@fhstp.ac.at,LeiterIn Labor Service (DMDT),WT,3,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,jason,hahn,jason.hahn@fhstp.ac.at,ForschungsgruppenleiterIn,DAC,4,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,christopher,williams,christopher.williams@fhstp.ac.at,StudiengangsleiterIn,MP,6,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,samuel,holmes,samuel.holmes@fhstp.ac.at,Junior Researcher,JRZ,1,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,anthony,gonzalez,anthony.gonzalez@fhstp.ac.at,FH-DozentIn Industrie 4.0,JRZ,0,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,craig,ramirez,craig.ramirez@fhstp.ac.at,Junior Researcher,DHC,2,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,bryan,james,bryan.james@fhstp.ac.at,Junior Researcher,DHC,1,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,shawn,mckay,shawn.mckay@fhstp.ac.at,FH-DozentIn,DAC,6,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,vincent,white,vincent.white@fhstp.ac.at,FH-DozentIn,VIS,6,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,nicholas,arnold,nicholas.arnold@fhstp.ac.at,Research Assistant,VIS,0,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,jerry,robinson,jerry.robinson@fhstp.ac.at,FH-DozentIn,MP,3,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,matthew,moore,matthew.moore@fhstp.ac.at,ForschungsgruppenleiterIn,VAI,4,0
Fachhochschule St. Pölten GmbH,Dep. Medien u.digitale Technologien,erin,herrera,erin.herrera@fhstp.ac.at,FH-DozentIn,SMC,6,0
